season,week,game_type,home_team,away_team,home_score,away_score,spread_line,result,home_moneyline,away_moneyline,home_spread_odds,away_spread_odds,div_game,total_line,home_win,is_tie,is_playoff,is_home_fav,spread_bucket,spread_wp_538,ml_wp_close,ml_formula_divergence,spread_open,spread_close_mkt,spread_move,ml_wp_open,ml_wp_close_mkt,ml_formula_divergence_open,home_spread_close_price,away_spread_close_price,home_is_fav_ml,fav_ml_wp,fav_wp_cal,ml_wp_cal,fav_margin,fav_spread,fav_spread_close_price,dog_spread_close_price
1999,2,REG,DAL,ATL,24.0,7.0,-6.5,17.0,,,,,0,42.0,1,0,0,1,-6.5,0.7181746423634181,,,-6.5,-6.5,0.0,,,,,,,,,,-17.0,-6.5,,
1999,3,REG,BAL,CLE,17.0,10.0,-12.0,7.0,,,,,1,36.5,1,0,0,1,-12.0,0.8490204427886767,,,-12.0,-12.0,0.0,,,,,,,,,,-7.0,-12.0,,
1999,3,REG,BUF,PHI,26.0,0.0,-11.5,26.0,,,,,0,38.0,1,0,0,1,-11.5,0.8395633851475949,,,-11.5,-11.5,0.0,,,,,,,,,,-26.0,-11.5,,
1999,3,REG,CAR,CIN,27.0,3.0,-7.0,24.0,,,,,0,39.5,1,0,0,1,-7.0,0.7325072897556676,,,-7.0,-7.0,0.0,,,,,,,,,,-24.0,-7.0,,
1999,3,REG,GB,MIN,23.0,20.0,-0.0,3.0,,,,,1,47.5,1,0,0,0,-0.0,0.5,,,0.0,0.0,0.0,,,,,,,,,,-3.0,-0.0,,
1999,3,REG,JAX,TEN,19.0,20.0,-9.5,-1.0,,,,,1,45.0,0,0,0,1,-9.5,0.7969209049515267,,,-9.5,-9.5,0.0,,,,,,,,,,1.0,-9.5,,
1999,3,REG,KC,DET,31.0,21.0,-3.5,10.0,,,,,0,39.5,1,0,0,1,-3.5,0.623326217078607,,,-3.5,-3.5,0.0,,,,,,,,,,-10.0,-3.5,,
1999,3,REG,NE,NYG,16.0,14.0,-6.0,2.0,,,,,0,43.5,1,0,0,1,-6.0,0.7033850034718286,,,-6.0,-6.0,0.0,,,,,,,,,,-2.0,-6.0,,
1999,3,REG,NYJ,WAS,20.0,27.0,1.0,-7.0,,,,,0,43.5,0,0,0,0,1.0,0.4640840730548977,,,1.0,1.0,0.0,,,,,,,,,,7.0,1.0,,
1999,3,REG,OAK,CHI,24.0,17.0,-7.0,7.0,,,,,0,38.0,1,0,0,1,-7.0,0.7325072897556676,,,-7.0,-7.0,0.0,,,,,,,,,,-7.0,-7.0,,
1999,3,REG,PIT,SEA,10.0,29.0,-4.0,-19.0,,,,,0,38.0,0,0,0,1,-4.0,0.6400649998028851,,,-4.0,-4.0,0.0,,,,,,,,,,19.0,-4.0,,
1999,3,REG,LAC,IND,19.0,27.0,1.0,-8.0,,,,,0,44.0,0,0,0,0,1.0,0.4640840730548977,,,1.0,1.0,0.0,,,,,,,,,,8.0,1.0,,
1999,3,REG,LAR,ATL,35.0,7.0,1.5,28.0,,,,,1,40.5,1,0,0,0,1.5,0.44624175535537913,,,1.5,1.5,0.0,,,,,,,,,,-28.0,1.5,,
