ml_bin,n,mean_ml_wp,actual_wr,ci_lo,ci_hi,error
"(0.499, 0.55]",665,0.5260745959916724,0.5218045112781955,0.4838216401446509,0.5595369069313683,-0.004270084713476896
"(0.55, 0.6]",918,0.5747899374115226,0.5599128540305011,0.5276174121594939,0.5917089449934052,-0.01487708338102156
"(0.6, 0.65]",965,0.6252192017305963,0.5958549222797928,0.5645717862485593,0.6263779004700951,-0.029364279450803554
"(0.65, 0.7]",789,0.6756115115812332,0.6755386565272496,0.6420881313216837,0.7072880870805796,-7.285505398357817e-05
"(0.7, 0.75]",752,0.725578950471749,0.7353723404255319,0.7027039359635837,0.7656481632064011,0.009793389953782872
"(0.75, 0.8]",590,0.7748375644811994,0.7847457627118644,0.749795618676469,0.8160118289661346,0.00990819823066491
"(0.8, 0.85]",334,0.8223424378135252,0.8173652694610778,0.7723985644373622,0.855114447577736,-0.004977168352447436
"(0.85, 0.9]",219,0.8719052616048317,0.8995433789954338,0.8525899062887489,0.9327212743884675,0.02763811739060207
"(0.9, 1.0]",49,0.9155000250568552,0.9591836734693877,0.8628671652316889,0.9887346030720717,0.04368364841253247
