method,bin_lo,bin_hi,bin_mid,n,actual_wr,mean_pred,error
Platt+Soft,0.55,0.6,0.575,918,0.5599128540305011,0.560540678940683,-0.0006278249101819844
Platt+Soft,0.6,0.65,0.625,965,0.5958549222797928,0.6123405434872506,-0.01648562120745789
Platt+Soft,0.65,0.7,0.675,789,0.6755386565272496,0.6665237298066301,0.009014926720619543
Platt+Soft,0.7,0.75,0.725,752,0.7353723404255319,0.7229150066352011,0.01245733379033076
Platt+Soft,0.75,0.8,0.775,585,0.7829059829059829,0.7808977569811552,0.0020082259248277445
Platt+Soft,0.8,0.85,0.825,339,0.8200589970501475,0.8385910692135607,-0.018532072163413238
Platt+Soft,0.85,0.9,0.875,219,0.8995433789954338,0.8994615817633759,8.1797232057923e-05
Platt+Soft,0.9,1.0,0.95,49,0.9591836734693877,0.9481236119538577,0.011060061515529962
Piecewise,0.5,0.55,0.525,665,0.5218045112781955,0.5150826660659094,0.006721845212286137
Piecewise,0.55,0.6,0.575,918,0.5599128540305011,0.5603647014734722,-0.00045184744297110946
Piecewise,0.6,0.65,0.625,965,0.5958549222797928,0.6102851092613922,-0.01443018698159948
Piecewise,0.65,0.7,0.675,789,0.6755386565272496,0.6646065588632881,0.010932097663961526
Piecewise,0.7,0.75,0.725,752,0.7353723404255319,0.7248543122420158,0.010518028183516104
Piecewise,0.75,0.8,0.775,585,0.7829059829059829,0.7847278539944303,-0.0018218710884474465
Piecewise,0.8,0.85,0.825,339,0.8200589970501475,0.8401758356706384,-0.02011683862049085
Piecewise,0.85,0.9,0.875,219,0.8995433789954338,0.8956141435894289,0.003929235406004872
Piecewise,0.9,1.0,0.95,49,0.9591836734693877,0.9382367462050535,0.020946927264334225
