method,n_params,log_loss,brier,ece_full,ece_tail,ece_core,rank_ece,rank_ll
Platt,2,0.6095219286343024,0.2111804589586682,0.01068262924221211,0.009502014335845839,0.011370407299741602,1,4
Platt+Soft,4,0.6096411505486589,0.211219842298158,0.0112472178001701,0.014350990665874414,0.007386242939683694,2,6
Poly Logit 2,3,0.6094845376053856,0.21116878352102744,0.011407675081852022,0.013694705599676189,0.007996702034206953,3,2
Beta,3,0.6095213889784673,0.21118961670485883,0.011631721952891564,0.016742553947140543,0.006876604197151042,4,3
Piecewise,4,0.6096252187821651,0.2112309964976585,0.011819881932417925,0.011716362132879075,0.0106685206780026,5,5
Raw ML,0,0.6094599288711141,0.21111535992592356,0.012238613830379478,0.010155009491962727,0.013452436675414592,6,1
Platt+ReLU,4,0.6100416568609682,0.21135336499171584,0.012474938593770801,0.012025399798448876,0.011446487659319599,7,7
