k,baseline,n_pre,n_post,observed_pre,observed_post,expected_pre,expected_post,excess_rate_pre,excess_rate_post,delta_excess_rate
23,gennorm,2156,2855,25,36,31.912343649944557,43.26870652825234,-0.0032060963125902396,-0.0025459567524526577,0.0006601395601375818
24,gaussian,2156,2855,59,56,28.13035564154071,39.16301360014058,0.014318016863849392,0.00589736826615041,-0.008420648597698983
24,gennorm,2156,2855,59,56,29.085239865201636,39.74318046434792,0.013875120656214454,0.005694157455569905,-0.008180963200644549
25,gaussian,2156,2855,24,34,25.038930409454135,35.214525269603406,-0.0004818786685779848,-0.0004254028965335924,5.6475772044392396e-05
25,gennorm,2156,2855,24,34,26.48148665568675,36.479111307538574,-0.0011509678365894023,-0.0008683402127980995,0.0002826276237913028
26,gaussian,2156,2855,14,30,22.211802629726556,31.58309800787939,-0.0038088138356802206,-0.0005545001778912047,0.003254313657789016
26,gennorm,2156,2855,14,30,24.090418973146598,33.46429761184096,-0.004680157223166326,-0.0012134142248129464,0.0034667429983533792
27,gaussian,2156,2855,28,22,19.643216134259067,28.263563522277423,0.003876059306929932,-0.0021938926522863124,-0.006069951959216244
27,gennorm,2156,2855,28,22,21.899768990407047,30.685665306448662,0.0028294206909058226,-0.003042264555673787,-0.00587168524657961
28,gaussian,2156,2855,38,44,17.32417166442811,25.246630702542944,0.0095899018254044,0.006568605708391263,-0.0030212961170131376
28,gennorm,2156,2855,38,44,19.896045619408383,28.129663755400085,0.008397010380608357,0.00555878677569174,-0.0028382236049166176
29,gaussian,2156,2855,16,14,15.243034352549953,22.51964002326221,0.000351097239077016,-0.0029841120922109313,-0.003335209331287947
29,gennorm,2156,2855,16,14,18.06764662824575,25.782564231662054,-0.0009590197719136134,-0.004126992725625938,-0.0031679729537123246
30,gaussian,2156,2855,12,14,13.38613686170147,20.067309500187786,-0.0006429206223105147,-0.002125152189207631,-0.0014822315668971161
30,gennorm,2156,2855,12,14,16.402506730562173,23.630691402802924,-0.0020419790030436796,-0.003373271944939728,-0.0013312929418960485
31,gaussian,2156,2855,37,30,11.738357631194749,17.872446761605644,0.011716902768462547,0.0042478295055672,-0.007469073262895347
31,gennorm,2156,2855,37,30,14.888570263893762,21.660602911901584,0.010255765183722745,0.0029209797156211615,-0.0073347854681015835
32,gaussian,2156,2855,9,14,10.283657404250922,15.916607027570024,-0.000595388406424361,-0.0006713159466094653,-7.592754018510427e-05
32,gennorm,2156,2855,9,14,13.514160907179477,19.8592270816298,-0.0020937666545359354,-0.0020522686800804905,4.149797445544487e-05
33,gaussian,2156,2855,6,7,9.005561344753442,14.180682274038446,-0.001394045150627756,-0.0025151251397682825,-0.0011210799891405265
33,gennorm,2156,2855,6,7,12.268089364424341,18.213966282450794,-0.0029072770706977465,-0.003927834074413588,-0.0010205570037158415
34,gaussian,2156,2855,14,16,7.887578247432122,12.64541221462674,0.0028350750243821324,0.0011749869651044695,-0.001660088059277663
34,gennorm,2156,2855,14,16,11.139720100332555,16.712771987499455,0.0013266604358383326,-0.000249657438703837,-0.0015763178745421696
35,gaussian,2156,2855,15,16,6.913552332835947,11.29181265536005,0.003750671459723586,0.0016491023974220488,-0.0021015690623015374
35,gennorm,2156,2855,15,16,10.119012622300694,15.344196480172808,0.0022639088022724054,0.00022970350957169584,-0.0020342052927007095
36,gaussian,2156,2855,1,1,6.067946684817288,10.101521049411442,-0.002350624621900412,-0.003187923309776337,-0.0008372986878759248
36,gennorm,2156,2855,1,1,9.196543878732019,14.09742538117237,-0.0038017364929183763,-0.004587539538063877,-0.0007858030451455009
37,gaussian,2156,2855,8,11,5.336060393722442,9.057062568174956,0.0012355935094051753,0.0006805385050175285,-0.0005550550043876468
37,gennorm,2156,2855,8,11,8.36351603701825,12.962294523199258,-0.00016860669620512542,-0.000687318572048777,-0.0005187118758436516
38,gaussian,2156,2855,14,12,4.704183838717757,8.14204266026417,0.004311603043266347,0.0013512985428146514,-0.0029603045004516952
38,gennorm,2156,2855,14,12,7.611752867847843,11.929294173029284,0.0029630088739110187,2.476561364998814e-05,-0.0029382432602610307
39,gaussian,2156,2855,0,2,4.159698260708017,7.3412739059654735,-0.0019293591190667982,-0.0018708490038407963,5.8510115226001816e-05
39,gennorm,2156,2855,0,2,6.933687323319,10.989563153268502,-0.003215995975565399,-0.003148708635120316,6.728734044508279e-05
40,gaussian,2156,2855,3,7,3.6911268723611976,6.6408460571798384,-0.0003205597738224479,0.00012579822865855045,0.00044635800248099837
40,gennorm,2156,2855,3,7,6.322342429774508,10.134875031960153,-0.0015409751529566365,-0.0010980297835236962,0.00044294536943294033
