k,baseline,mean_excess_rate,std_excess_rate,cv_abs,min_excess_rate,max_excess_rate,n_seasons
1,gaussian,-0.009892661944577627,0.013210185973695242,1.335352006133801,-0.032557521225814276,0.009019762011856057,20
1,gennorm,-0.0061795935737161585,0.013028213171313413,2.1082637581097052,-0.028403343207604213,0.012300081923785766,20
2,gaussian,-0.010152601324814828,0.012083798224406035,1.1902169540402425,-0.034171062823448034,0.008452834588233342,20
2,gennorm,-0.006764839218763868,0.011925349272718447,1.7628429718833072,-0.030080441147896285,0.011813535834593691,20
3,gaussian,0.09350888389440416,0.02534423801214244,0.2710356166881713,0.03092771571458576,0.12728753009627944,20
3,gennorm,0.09642430846515648,0.025305325400287133,0.26243719870110727,0.034250743787456316,0.1304631527425767,20
4,gaussian,-0.00266964240477086,0.014421183265046935,5.401915716979604,-0.02323486641112945,0.037349398787241014,20
4,gennorm,-0.0001445574141722257,0.01448838316505662,100.22580472970526,-0.02101714800044087,0.04027558836862953,20
5,gaussian,-0.011858374881754976,0.016215518680164624,1.3674317806492566,-0.03299520502855757,0.022719041477867505,20
5,gennorm,-0.009615981935836883,0.016030568081237737,1.667075519505184,-0.030342503093214644,0.02460824291549652,20
6,gaussian,0.015576735887236778,0.018867090869677933,1.2112352039773107,-0.010801883589342183,0.061381753338590105,20
6,gennorm,0.017570841193881123,0.018771630712464363,1.0683398993442275,-0.009069634092218688,0.06300654327345402,20
7,gaussian,0.04032278250243419,0.01842703359775923,0.456988145514185,0.013319199283829207,0.07619616395823178,20
7,gennorm,0.042155474881157694,0.01852467948942072,0.4394370966438983,0.01471785480622127,0.0780492426445224,20
8,gaussian,-0.008342630948468615,0.010643235579455651,1.2757648810306463,-0.03586742542272812,0.012122648817373051,20
8,gennorm,-0.006529611980203314,0.010691230396071682,1.6373454392827163,-0.03404439406731865,0.014238772035469083,20
9,gaussian,-0.02801157122251439,0.0107473730186007,0.3836761934283238,-0.04090943058650544,-0.001926719148762214,20
9,gennorm,-0.02618227532683648,0.010739569975022484,0.4101847467784654,-0.03973882315650497,-0.0002753632775178374,20
10,gaussian,0.012034530606456189,0.012507625358752852,1.0393114420302243,-0.01693597703351421,0.033380514176909175,20
10,gennorm,0.01388708364492532,0.012359642067035607,0.8900099101478461,-0.01443898654501078,0.03497446466570221,20
11,gaussian,-0.01738894948122214,0.010926650177698196,0.6283674692078204,-0.03877868585320829,0.004825643123549397,20
11,gennorm,-0.015484806469335897,0.010786637518630467,0.6965949196711579,-0.03643345935537434,0.006564895345686239,20
12,gaussian,-0.020227402795615464,0.007158071127004534,0.35387989250681917,-0.030609589067960463,-0.005870437506053106,20
12,gennorm,-0.018295888345749092,0.007194410260007735,0.3932255228087517,-0.02914145460357977,-0.0037233671086706692,20
13,gaussian,-0.010751765834608962,0.010259297454630301,0.9541965117587058,-0.03529150527856033,0.005169323902925607,20
13,gennorm,-0.00884848190701107,0.010211089523942842,1.153993377762587,-0.03329978243303944,0.00728300468336253,20
14,gaussian,0.01674044776651302,0.015890569922934056,0.9492320721982701,-0.00669279916747141,0.057583925850878,20
14,gennorm,0.018582913100140826,0.01591781825951378,0.8565835815802825,-0.005156928312732769,0.05955214102970887,20
15,gaussian,-0.014881051694862011,0.009638878892953562,0.6477283387357349,-0.030991006575093166,0.005331707373804228,20
15,gennorm,-0.013121691526868864,0.009727145966194001,0.7413027463933318,-0.029521267182439023,0.006974422898845466,20
16,gaussian,-0.005657296033306383,0.009817608446777959,1.73538884813141,-0.024845273478515128,0.011845968756704956,20
16,gennorm,-0.00402566703747694,0.009994639418395644,2.4827287814294046,-0.02376601043862632,0.013620185612821438,20
17,gaussian,0.006673115575976366,0.012452107084334904,1.8660110022915337,-0.013757456248085088,0.03390508418223144,20
17,gennorm,0.008134472859717046,0.012391827763222648,1.5233719476265721,-0.011943059689001044,0.03541344859988221,20
18,gaussian,-0.00010592312410447749,0.010354785621756292,97.75755491825211,-0.020312179055474028,0.019573482849456158,20
18,gennorm,0.001148898398658001,0.010376420759793486,9.031626096714836,-0.018883368268605368,0.020570756404737895,20
19,gaussian,-0.011346305231532607,0.006604638600315712,0.5820959744640669,-0.022289428898589213,-0.000983074342567004,20
19,gennorm,-0.010330476637900973,0.006624348393545177,0.6412432480841623,-0.021088795762811183,-0.00011346309308406569,20
20,gaussian,0.002228009434289875,0.011963009226541258,5.369370992073103,-0.016149721336360584,0.03292296184188458,20
20,gennorm,0.0029825266683602284,0.011954039750508539,4.008024430199239,-0.015557161500179575,0.03356568105045003,20
21,gaussian,0.008591198843388225,0.013690960041825625,1.5936029757199914,-0.006808375294553775,0.05262326317841945,20
21,gennorm,0.009073426168528994,0.01357691338619741,1.496338112419835,-0.006253104838633445,0.052635012929369215,20
22,gaussian,-0.006318612617335984,0.005435210260767834,0.860190454761475,-0.016593802882498072,0.006262228138850097,20
22,gennorm,-0.00611030642103603,0.0053712333133463,0.8790448372367523,-0.016444029205950984,0.006531178388249866,20
23,gaussian,-0.002812656686314104,0.007118330663633172,2.53082101995232,-0.011136914540190064,0.010165991096930541,20
23,gennorm,-0.002871430718485403,0.007236542255787463,2.520186960876608,-0.01125475725214455,0.010494996079047601,20
24,gaussian,0.00969468742380895,0.009490630707360484,0.9789516971999193,-0.009291970396002576,0.028285857554262658,20
24,gennorm,0.009382620724877425,0.009464652199107913,1.0087429169989774,-0.00960779509340658,0.02800398001254599,20
25,gaussian,-0.0005350366623919136,0.0064897357798586386,12.129516042593949,-0.00820922411762643,0.014045237545166908,20
25,gennorm,-0.0010806972039427993,0.006490246764066099,6.005610767185463,-0.00879283538657854,0.013590831264365057,20
26,gaussian,-0.002156322512967781,0.00737439257929081,3.4198931444356697,-0.010613531062861115,0.01704002133697243,20
26,gennorm,-0.0029117450132472382,0.007464517365699715,2.563588958421579,-0.011376531525944257,0.016307227605729495,20
27,gaussian,0.00045674887887658824,0.009160573142320464,20.0560385935739,-0.010416197086160974,0.030704510005540725,20
27,gennorm,-0.00048171525151584967,0.009153915935576804,19.00275298897323,-0.01116684279591495,0.02971452145409344,20
28,gaussian,0.008011005672152181,0.008304084064544151,1.036584469464398,-0.004723685446881459,0.020229697845180427,20
28,gennorm,0.006917974858515012,0.008302390977514366,1.2001186976410214,-0.005834881958078784,0.019296820834501738,20
29,gaussian,-0.0014092897632498034,0.00401540693656227,2.8492415408615432,-0.008574465932296254,0.004875918087127996,20
29,gennorm,-0.0026282045374693736,0.003936607820728354,1.4978316050389313,-0.009502121719371745,0.0036217437148223304,20
30,gaussian,-0.0014625460921765707,0.004456645539376162,3.0471829662091214,-0.007512455695884553,0.009489689339601691,20
30,gennorm,-0.0027793031030754244,0.00444236043126878,1.5983720618140236,-0.008695641359752196,0.008226304687194512,20
31,gaussian,0.007537995102760214,0.008718218599694157,1.156569947425646,-0.002412144165352295,0.0255404623049687,20
31,gennorm,0.006150074959077932,0.008691096339456583,1.4131691722924336,-0.0038311597915735188,0.02410186053120963,20
32,gaussian,-0.0007041029750567368,0.003946973194884084,5.605676065444881,-0.006075497799198408,0.00675443759179098,20
32,gennorm,-0.002138454269121051,0.003938517359304517,1.8417589827269623,-0.007358534422871653,0.005263638320870809,20
33,gaussian,-0.0019641707909645065,0.0035261330268216056,1.795227300519064,-0.005445601080072661,0.005967224899841461,20
33,gennorm,-0.0034225807099563265,0.0034866054280048866,1.0187065619409095,-0.006834499993565115,0.004340567060655125,20
34,gaussian,0.002001740033014215,0.005077801437892653,2.536693753507299,-0.004810213232925603,0.012168539185456666,20
34,gennorm,0.0005390300705204615,0.005050707080939198,9.369991318039972,-0.0061304908457940665,0.010675234198331301,20
35,gaussian,0.0025545559414627502,0.004350516630861499,1.7030422236008556,-0.004035932377890061,0.012932883442054708,20
35,gennorm,0.0011045736942105397,0.004324514414346259,3.915098138777489,-0.005459361725392065,0.011274946930637611,20
36,gaussian,-0.0028053667652619034,0.0013845521938351587,0.49353696314495965,-0.003923473543151054,0.0014532541442186487,20
36,gennorm,-0.004228326264119445,0.0013945545161773126,0.3298124196354395,-0.005364029677117133,6.926302623793869e-05,20
37,gaussian,0.0009388588678047847,0.004201945407323864,4.475587919991365,-0.003398063887942458,0.010033582883718879,20
37,gennorm,-0.0004454256316091216,0.004206973132687324,9.444838451459182,-0.004723516021070142,0.008676384298818863,20
38,gaussian,0.0027140257810562593,0.003437124758296522,1.2664304010254623,-0.0031802507480836605,0.008426806341524205,20
38,gennorm,0.0013775852382906214,0.003429880132700659,2.4897770659597303,-0.004580109682133649,0.007042040827049414,20
39,gaussian,-0.001899722479879477,0.0011405575257425464,0.60038112820295,-0.002873591020310899,0.0014927944815853076,20
39,gennorm,-0.0031814249102246435,0.001158685671273073,0.3642033692353459,-0.004237718045476085,0.0002996014076118354,20
40,gaussian,-4.404110316036722e-05,0.0028434256510991135,64.56299790550943,-0.002545410860980463,0.008436067956269095,20
40,gennorm,-0.001266146740104521,0.0028402823293920488,2.2432489374474733,-0.003835001185064413,0.007210745326816138,20
