k,baseline,observed_pos,observed_neg,observed_combined,expected_pos,expected_neg,expected_combined,observed_rate_combined,expected_rate_combined,excess_rate_combined,ratio_combined
9,gaussian,48,28,76,146.8312555626008,70.67631539131088,217.50757095391168,0.015166633406505687,0.043406020944703985,-0.0282393875381983,0.34941312464063085
9,gennorm,48,28,76,145.25652009043677,63.05706197111904,208.3135820615558,0.015166633406505687,0.041571259641100734,-0.02640462623459505,0.36483458854613865
10,gaussian,181,85,266,143.55875379009032,64.14616872570303,207.70492251579336,0.053083216922769905,0.0414497949542593,0.011633421968510605,1.28066295578418
10,gennorm,181,85,266,140.32164144093426,58.05412555911806,198.37576700005232,0.053083216922769905,0.03958805966873924,0.013495157254030669,1.3408895855708518
11,gaussian,77,33,110,139.42500896489028,57.969467902734664,197.39447686762495,0.02195170624625823,0.03939223246210835,-0.01744052621585012,0.5572597660560041
11,gennorm,77,33,110,134.40242530536855,53.394824243435345,187.7972495488039,0.02195170624625823,0.03747700050864177,-0.015525294262383537,0.5857380779765557
12,gaussian,60,26,86,134.51701021130827,52.183426605289675,186.70043681659794,0.017162243065256436,0.037258119500418664,-0.02009587643516223,0.4606309522697082
12,gennorm,60,26,86,127.89349385946093,49.06770652294831,176.96120038240923,0.017162243065256436,0.035314548070726245,-0.018152305005469813,0.485982236864103
13,gaussian,78,43,121,128.93459617778768,46.81204978447784,175.74664596226552,0.024146876870884054,0.03507217041753453,-0.010925293546650472,0.688491090896721
13,gennorm,78,43,121,121.08821100086817,45.0592014534805,166.14741245434868,0.024146876870884054,0.03315653810703426,-0.009009661236150206,0.7282689402896746
14,gaussian,176,73,249,122.78703264168672,41.86734381354178,164.6543764552285,0.04969068050289364,0.03285858640096358,0.016832094101930057,1.5122586193006908
14,gennorm,176,73,249,114.00777209593792,41.3542647243719,155.3620368203098,0.04969068050289364,0.031004198128179967,0.018686482374713667,1.6027081331843693
15,gaussian,50,30,80,116.18940130087228,37.350778909678624,153.5401802105509,0.015964877270005985,0.030640626663450587,-0.0146757493934446,0.5210362518156183
15,gennorm,50,30,80,106.73107896767709,37.93690373548715,144.66798270316423,0.015964877270005985,0.02887008235944207,-0.012905205089436086,0.5529903611371102
16,gaussian,84,31,115,109.258979535267,33.25490306727184,142.51388260253884,0.022949511075633606,0.028440208062769676,-0.005490696987136069,0.8069389304389867
16,gennorm,84,31,115,99.49476375503984,34.790602405775516,134.28536616081536,0.022949511075633606,0.026798117373940403,-0.0038486062983067964,0.8563851988330591
17,gaussian,120,46,166,102.11177931274023,29.56501244731765,131.67679176005788,0.033127120335262425,0.026277547746968246,0.006849572588294176,1.2606625494224224
17,gennorm,120,46,166,92.40756505237061,31.8986623463052,124.30622739867582,0.033127120335262425,0.024806670803966438,0.008320449531295985,1.3354117768179354
18,gaussian,88,33,121,94.85938942903218,26.260794910180046,121.12018433921222,0.024146876870884054,0.024170860973700303,-2.39841028162474e-05,0.99900772658275
18,gennorm,88,33,121,85.54444426634227,29.244474026230957,114.78891829257323,0.024146876870884054,0.02290738740622096,0.0012394894646630954,1.0541087223384753
19,gaussian,39,15,54,87.6062348053138,23.31787929700009,110.9241141023139,0.010776292157254041,0.02213612334909477,-0.01135983119184073,0.48681930378268895
19,gennorm,39,15,54,78.98238799154662,26.81172927550075,105.79411726704737,0.010776292157254041,0.021112376225712905,-0.010336084068458864,0.5104253562954947
20,gaussian,85,25,110,80.44733357575927,20.709240736910292,101.15657431266956,0.02195170624625823,0.020186903674450123,0.0017648025718081098,1.0874231432550878
