form,label,slope,intercept,in_sample_mae,in_sample_bisection,loso_mae,loso_bisection
linear_free,Linear (free intercept),6.075414654569638,0.4753532332133168,10.221670657534109,0.4999047437607163,10.228450870865819,0.4999047437607163
linear_zero,Linear (intercept=0),6.549956613779074,0.0,10.225199950251527,0.5065726805105735,10.227208054172957,0.5071442179462755
lookup,Lookup (1% bin median),,,10.160008194487661,0.4968565441036388,10.262440715783045,0.4964755191465041
