wp_centre,n,empirical_median_margin,pred_linear_free,pred_linear_zero
0.505,110,0.0,0.5968655768241793,0.13100349917534038
0.515,138,3.0,0.839987529042297,0.3931153597523273
0.525,133,3.0,1.083401744010422,0.6555423113051921
0.535,151,-1.0,1.3273046284005383,0.9184961015504771
0.545,144,3.0,1.5718949559952573,1.1821910302069811
0.555,192,3.0,1.8173748546996675,1.4468450131016954
0.5650000000000001,166,2.5,2.0639508348166875,1.7126806907622742
0.5750000000000001,193,1.0,2.311834871986226,1.979926595943028
0.5850000000000001,118,-1.5,2.5612455594783046,2.2488183959220116
0.5950000000000001,161,3.0,2.812409346203051,2.519600227210214
0.6050000000000001,166,2.5,3.065561878922304,2.7925261426013916
0.6150000000000001,175,4.0,3.3209494698047317,3.0678616933558214
0.6250000000000001,188,5.0,3.5788307137708957,3.3458856728738744
0.6350000000000001,185,3.0,3.8394782841712485,3.626892052631862
0.6450000000000001,120,3.0,4.10318094041562,3.9111921466245874
0.6550000000000001,151,5.0,4.370245787469452,4.199117047347608
0.6650000000000001,106,5.0,4.641000834964945,4.491020384796892
0.6750000000000002,175,5.0,4.9157979134560925,4.787281470508376
0.6850000000000002,134,4.0,5.195016017617121,5.088308901888849
0.6950000000000002,144,6.0,5.4790651616615555,5.394544718776301
0.7050000000000002,118,3.0,5.7683908519020495,5.706469225345007
0.7150000000000002,144,8.0,6.063479306468221,6.024606617528067
0.7250000000000002,142,6.0,6.364863584501899,6.349531590955344
0.7350000000000002,133,7.0,6.673130829056834,6.681877149585707
0.7450000000000002,153,7.0,6.988930882768063,7.0223438943340435
0.7550000000000002,115,7.0,7.3129866077826,7.371711149076968
0.7650000000000002,118,7.0,7.6461063380583205,7.73085038558301
0.7750000000000002,94,8.5,7.98919902241796,8.100741549368905
0.7850000000000003,106,8.0,8.34329279447901,8.482493080100193
0.7950000000000003,113,8.0,8.709557951135933,8.877366684889852
0.8050000000000003,110,7.0,9.08933566521874,9.286808293661622
0.8150000000000003,81,11.0,9.48417424698504,9.712487152975385
0.8250000000000003,76,7.5,9.895875475913893,10.156345776731253
0.8350000000000003,64,11.5,10.326554564419812,10.620664593563601
0.8450000000000003,58,13.0,10.778718876581245,11.108146814176976
0.8550000000000003,49,10.0,11.25537292148518,11.622031625570846
0.8650000000000003,53,14.0,11.760160910902107,12.166247883690904
0.8750000000000003,44,20.5,12.297564269259775,12.745627050624693
0.8850000000000003,51,8.0,12.873181663964798,13.366205097691592
0.8950000000000004,43,10.0,13.494136742613833,14.035662090425046
0.9050000000000004,36,16.0,14.16969055518864,14.76398244619037
0.9150000000000004,26,15.0,14.912195878962335,15.56448380004606
0.9250000000000004,14,21.0,15.738651637875556,16.45549283759675
0.9350000000000004,10,26.0,16.673376269146424,17.463227474449866
0.9450000000000004,3,25.0,17.75293178357089,18.627105527831407
0.9550000000000004,3,3.0,19.03604179124553,20.01043742512887
0.9650000000000004,2,22.0,20.62616729329955,21.724765358463205
