bucket_label,spread_lo,spread_hi,n,mean_abs_spread,fitted_loc_gennorm,fitted_scale_gennorm,fitted_beta_gennorm,fitted_loc_gaussian,fitted_scale_gaussian,ll_gennorm,ll_gaussian,ll_per_game_gennorm,ll_per_game_gaussian,delta_ll_per_game,ks_gennorm,ks_gaussian
Pickem to 3,0.0,3.5,2197,2.2630860263996357,1.4338891053097498,15.895724000832407,1.5331089015588388,1.3536640873918981,13.39899593049509,-8802.542301670403,-8819.017920026497,-4.006619163254621,-4.014118306794036,0.007499143539415046,0.0580874447409534,0.06863868218978264
3.5 to 7,3.5,7.5,2344,5.123720136518771,5.549192668059973,16.00144162640397,1.5875469934670927,5.813139931740614,13.10632150985425,-9346.198109558398,-9357.325832572153,-3.9872858829174054,-3.9920332050222496,0.004747322104844199,0.05741146557536814,0.07143110819886211
7.5 to 10,7.5,10.5,803,8.716687422166874,8.911530880304127,17.6494225291383,1.79452408308108,8.997509339975094,13.27944670835535,-3215.1445234339963,-3216.1402783246153,-4.003915969407219,-4.005156012857554,0.0012400434503350962,0.05326689463101597,0.05422303861484651
10.5 to 14,10.5,14.5,453,12.165562913907285,12.640867609270277,19.207554562389337,2.0717828833809424,12.602649006622517,13.343854305593299,-1816.4638577421183,-1816.5274905682813,-4.0098539906007025,-4.009994460415632,0.00014046981492942535,0.07220452076782591,0.0733048533310805
14.5+,14.5,100.0,102,16.441176470588236,16.46168555768938,17.329163706170934,1.9457297203083488,16.49019607843137,12.433939241430789,-401.80861793462026,-401.815566860477,-3.9393001758296102,-3.9393683025536963,6.812672408589642e-05,0.07163661532813403,0.07410034900761142
ALL,0.0,inf,5899,5.283861671469741,5.069576498436503,16.93199712984927,1.603033900388253,5.291744363451432,13.765840837133677,-23813.217122569324,-23838.61852625711,-4.036822702588459,-4.041128755086813,0.0043060524983531455,0.05386735651997876,0.067335197019885
