season,n,slope_home,intercept_home,slope_away,intercept_away
2006,220,0.9627028460947735,-0.3783176627933261,0.4190473687917695,-0.009295708719993566
2007,266,1.3231119571370948,-0.3378460474528486,0.915967829139033,0.08090070364384525
2008,193,1.7426340850378685,-0.7478747029820263,1.1833518684321336,-0.09036614466958923
2009,253,1.1676863240965316,-0.17144482693591576,0.7093720438802229,0.19634023125803807
2010,267,0.9260935769808816,-0.03175635381227404,0.2797255651275427,0.4752636687881978
2011,267,1.7463183421232638,-0.5871893555191652,0.314140742075622,0.39397489163993027
2012,266,1.9416495264894356,-0.7347149662984291,1.415503158400417,-0.2914581913508446
2013,266,0.5200486062311198,0.6115803027097628,1.5330120148809954,-0.06813556331853307
2014,266,1.702672426730917,-0.48814442373592726,0.6798079019221808,0.18777924632377108
2015,267,0.9108916458240026,-0.12178186035272134,0.6033297928057206,0.19171433377453456
2016,265,1.0799115574728513,0.0023419902086858992,1.5158010927159282,-0.2550057138568269
2017,266,0.8910993071528263,0.2410305643337315,1.0403330286204986,0.18825975914228216
2018,265,1.1261185045820679,-0.058829998758505135,1.1616548568884095,-0.2920296714325116
2019,266,1.025831282589356,-0.2609188183683337,2.3063666316097833,-0.6971198138049248
2020,268,1.4886456765081388,-0.43870058459254957,1.4960597261942281,-0.07411492217423453
2021,284,1.916546743126677,-1.0253655325486388,0.7238240908045134,0.06411145152533053
2022,282,1.929135698110401,-0.5043975785448729,0.7956636925386249,0.05751978226980913
2023,285,0.654302649176671,0.3347257121863577,0.5828421356844913,0.25813944346167916
2024,285,0.9132472161606842,0.27833417099811797,1.639681688784274,0.011627263713949112
2025,284,1.1915709276054454,-0.21224926643878753,1.1016763931955404,-0.07832828595266111
