spread,n_low,n_high,cp_low,cp_high,cp_gap,median_margin_low,median_margin_high,median_margin_gap,cover_rate_low,cover_rate_high,cover_rate_gap
2.5,115,89,0.4924049429977525,0.5216324915523812,0.029227548554628724,3.0,1.0,-2.0,0.5739130434782609,0.4606741573033708,-0.11323888617489009
3.0,195,155,0.48496146047096067,0.5236040861840852,0.03864262571312449,3.0,3.0,0.0,0.5081967213114754,0.4411764705882353,-0.06702025072324014
3.5,127,101,0.48832158693053324,0.5155146861771693,0.0271930992466361,4.0,4.0,0.0,0.5433070866141733,0.504950495049505,-0.03835659156466831
7.0,82,64,0.48709135377523965,0.5109871264009895,0.023895772625749878,7.0,6.0,-1.0,0.47297297297297297,0.47619047619047616,0.0032175032175031926
