cp_demeaned_lo,cp_demeaned_hi,cp_demeaned_mid,n,median_margin_demeaned,mean_margin_demeaned
-0.025,-0.02,-0.0225,100,-1.5,-2.52
-0.02,-0.015,-0.0175,82,0.5,0.07926829268292683
-0.015,-0.010000000000000002,-0.0125,345,0.0,0.3318840579710145
-0.010000000000000002,-0.0049999999999999975,-0.0075,317,0.0,0.13406940063091483
-0.0049999999999999975,0.0,-0.0024999999999999988,917,0.0,0.5872410032715376
0.0,0.0049999999999999975,0.0024999999999999988,721,0.0,0.9056865464632455
0.0049999999999999975,0.010000000000000002,0.0075,317,0.0,0.3501577287066246
0.010000000000000002,0.015,0.0125,268,0.0,0.44402985074626866
0.015,0.019999999999999997,0.017499999999999998,151,0.0,-1.1423841059602649
0.019999999999999997,0.025,0.0225,57,0.0,2.175438596491228
