number,n_points,mean_excess_rate,weighted_mean_excess_rate,intercept,slope_per_pt,r2_weighted
1,50,-0.005942984189589311,-0.004926220105621401,0.0023066695687077934,-0.0013528646007539996,0.15103494729597866
2,50,-0.005467108915035468,-0.0053413618166731885,-0.000534544851951936,-0.0008898803049343161,0.04638601745435611
3,50,0.040426799694740626,0.047097714039414616,0.062042991316210314,-0.002701321665611944,0.3358399357095322
4,50,-0.0006528814230722122,-0.0017766938238271378,0.00034358109018437394,-0.0003580961086134941,0.02227339803482309
5,50,-0.006200164470751186,-0.005723009570310515,-0.0052609735866482495,-7.1824036954145e-05,0.0010108904395061957
6,50,0.007164687965111751,0.008117468588473115,0.00917915927428323,-0.00015145884279645804,0.0034306454112669194
7,50,0.019589498685938737,0.02051578415627784,0.02854972816830848,-0.001045700233259199,0.13138077420536853
8,50,-0.0031607565515432436,-0.0037909898618802575,-0.004240060920731999,5.299785802376636e-05,0.0005961310138946629
9,50,-0.013707488556755824,-0.014660667161222982,-0.025925969433529417,0.0012106672459027328,0.4964255624175403
10,50,0.004897607552222339,0.005674219923373839,0.00956482873574364,-0.0003822449007356811,0.027715406728273995
11,50,-0.00879604158101456,-0.008575260029311225,-0.01791394205292619,0.0008406066523870078,0.2545683722859329
12,50,-0.00936144633451226,-0.01045409848538196,-0.02194473081825771,0.0009525030252334834,0.3824109422363471
13,50,-0.004376466405999147,-0.005627957778234483,-0.014774063847261045,0.0007023916087991006,0.22122829001222089
14,50,0.008148416644799315,0.008254271959521222,0.016988078038671552,-0.0006238432913678809,0.11410900858002959
15,50,-0.005613755913902004,-0.007462936409294003,-0.023985802333505037,0.001101524394947402,0.4143629110289013
16,50,-0.0043707564498173266,-0.003047907974431178,-0.010457765346192605,0.00046311608573508913,0.16811694279587475
17,50,0.0029871827483088716,0.0030922121813782306,0.0012402058675811077,0.00010894154787041898,0.0059855966924937665
18,50,0.0003114157977047385,5.3956125019496786e-05,-0.0031365226370094674,0.00017724882011272024,0.014042346172663422
19,50,-0.006204998808816523,-0.0057987315679991535,-0.019864863638846958,0.0007403227405709371,0.4124272640143828
20,50,-0.0001893324585661523,0.000738041201677009,-0.0004416389067470092,5.8984005421200906e-05,0.0017292410273224146
21,50,0.005000865783185506,0.003831482611731472,0.013344661443960766,-0.0004530085158204426,0.1256557053442754
22,48,-0.002813594459638602,-0.0031374001244335982,-0.010159253937756307,0.0003218893075458545,0.06936623106932793
23,46,-0.0028189484343957216,-0.0011692518856053352,-0.00580573708444229,0.00020437678264495935,0.028740575513706568
24,46,0.006629638325806742,0.005077092213690943,0.02138494785232674,-0.0006885028079735792,0.21705624350980857
25,44,-0.0015404459772307298,-0.00030908292643997017,-0.004195727465143314,0.0001586988826473513,0.017295373420883386
26,42,-0.0017593567279531445,-0.0016132788303672527,-0.007366727592939378,0.0002286863268303098,0.06937351472516229
27,40,0.0014168466096165296,0.0004575224720452267,0.008230735941715356,-0.0002992353822379266,0.06513185899101903
28,38,0.00756606221672097,0.004208530452817187,0.023576586274416046,-0.0007256647307323595,0.19635774052273824
29,36,-0.0005756306355513081,-0.0007675025671601411,0.0016782541054992395,-9.022213361879527e-05,0.006917339960846203
30,34,-0.002393752931623835,-0.001451651352785107,-0.0023650217851548675,3.3036171055190134e-05,0.0012719336867488273
31,32,0.006286339695726811,0.004219471288853586,0.02916647875306336,-0.0008798788611116614,0.3548261293379149
32,30,-0.00012852917178683384,-0.0009196641460789192,0.012804023874765692,-0.00047968553709412795,0.16436037798398684
33,28,-0.001487325937182887,-0.0015124430473858461,0.008881705065823099,-0.0003686446161147753,0.08286706001754451
34,26,0.002498876157606813,0.0018512953151167855,0.029736208726247767,-0.0009640142479002841,0.300902358481307
35,25,0.005085301378885556,0.0026947796589865047,0.048383123113219496,-0.0015407326163992896,0.3600099247941859
36,25,-0.0019009310639642887,-0.0019198766182472742,0.0085310406014838,-0.00034093550777168695,0.1976657475661201
37,23,0.0009781268051109611,0.0009875881540220056,-0.0006300957881526315,5.1586191411979044e-05,0.001477660946621162
38,21,0.006457435353787573,0.004029309441318947,0.0255771799811608,-0.0006747721814454525,0.0917479398450386
39,19,-0.0009515570847715069,-0.000531177697067767,-0.004780518166254621,0.00013464169534260474,0.05318740552820056
40,17,0.0020546943532655064,0.0013735546483668486,0.0011124595922378992,8.173896771533383e-06,2.047920500969358e-05
