number,signed_margin,fav_spread,distance,n_bucket,empirical_rate,baseline_rate,excess_rate
3,3,9.5,6.5,129,0.10077519379844961,0.02973851881824418,0.07103667498020544
3,3,10.0,7.0,163,0.08588957055214724,0.028979172501087218,0.056910398051060025
3,3,10.5,7.5,108,0.08333333333333333,0.028153162783141922,0.05518017055019141
3,3,11.0,8.0,58,0.06896551724137931,0.02740838977931861,0.041557127462060695
3,3,12.5,9.5,35,0.02857142857142857,0.024657926559256343,0.003913502012172228
3,3,13.0,10.0,59,0.05084745762711865,0.0235701676558017,0.027277289971316947
3,3,13.5,10.5,50,0.08,0.022737506843118437,0.05726249315688156
3,3,14.0,11.0,79,0.10126582278481013,0.021849496982355113,0.07941632580245502
3,-3,1.0,4.0,218,0.05045871559633028,0.020090522475791663,0.030368193120538615
3,-3,1.5,4.5,102,0.049019607843137254,0.012753539697566284,0.03626606814557097
3,-3,2.0,5.0,107,0.09345794392523364,0.012203084218367563,0.08125485970686608
3,-3,2.5,5.5,420,0.06666666666666667,0.017985332040638836,0.04868133462602783
3,-3,3.0,6.0,784,0.08673469387755102,0.025274622730876377,0.06146007114667464
3,-3,3.5,6.5,517,0.0851063829787234,0.02961091673177907,0.05549546624694433
3,-3,4.0,7.0,248,0.06048387096774194,0.029871390540456892,0.030612480427285045
3,-3,4.5,7.5,189,0.07407407407407407,0.028886306876493115,0.045187767197580955
3,-3,5.0,8.0,115,0.06956521739130435,0.027556871490572902,0.04200834590073145
3,-3,5.5,8.5,213,0.06103286384976526,0.026285460525960008,0.03474740332380525
3,-3,6.0,9.0,242,0.06198347107438017,0.025397278218360637,0.03658619285601953
3,-3,6.5,9.5,239,0.04184100418410042,0.024708366776138337,0.01713263740796208
3,-3,7.0,10.0,337,0.05341246290801187,0.02395323793306788,0.02945922497494399
3,-3,7.5,10.5,230,0.05652173913043478,0.02294018843536881,0.03358155069506597
3,-3,8.0,11.0,56,0.03571428571428571,0.02188011046882749,0.013834175245458224
3,-3,8.5,11.5,58,0.05172413793103448,0.020906360243154985,0.030817777687879497
3,-3,9.0,12.0,109,0.07339449541284404,0.020014034920850635,0.05338046049199341
3,-3,9.5,12.5,129,0.05426356589147287,0.019047910883455327,0.03521565500801754
3,-3,10.0,13.0,163,0.03067484662576687,0.018142215207749224,0.012532631418017647
3,-3,10.5,13.5,108,0.046296296296296294,0.017224983733575863,0.02907131256272043
3,-3,11.0,14.0,58,0.034482758620689655,0.016333927012340786,0.01814883160834887
3,-3,12.5,15.5,35,0.05714285714285714,0.013846533514155655,0.043296323628701484
3,-3,13.0,16.0,59,0.0,0.013369658219043155,-0.013369658219043155
3,-3,13.5,16.5,50,0.02,0.012280452843268744,0.007719547156731257
3,-3,14.0,17.0,79,0.02531645569620253,0.011729662674988914,0.013586793021213617
4,4,1.0,3.0,218,0.01834862385321101,0.02066933282700752,-0.00232070897379651
4,4,1.5,2.5,102,0.029411764705882353,0.0129991105510399,0.01641265415484245
4,4,2.0,2.0,107,0.009345794392523364,0.012364779473952578,-0.003018985081429214
4,4,2.5,1.5,420,0.02619047619047619,0.018715453727162268,0.007475022463313923
4,4,3.0,1.0,784,0.026785714285714284,0.02792582107801769,-0.0011401067923034053
4,4,3.5,0.5,517,0.0367504835589942,0.03506080098510674,0.0016896825738874563
4,4,4.0,0.0,248,0.024193548387096774,0.037063652204216396,-0.012870103817119623
4,4,4.5,0.5,189,0.031746031746031744,0.03687077275229533,-0.005124741006263589
4,4,5.0,1.0,115,0.034782608695652174,0.03559016242914808,-0.0008075537334959054
4,4,5.5,1.5,213,0.046948356807511735,0.034266408181056,0.012681948626455733
4,4,6.0,2.0,242,0.028925619834710745,0.03395126685529335,-0.005025647020582606
4,4,6.5,2.5,239,0.03347280334728033,0.03441979533811907,-0.0009469919908387386
4,4,7.0,3.0,337,0.026706231454005934,0.03530110917017003,-0.008594877716164094
4,4,7.5,3.5,230,0.030434782608695653,0.035479951696312746,-0.005045169087617093
4,4,8.0,4.0,56,0.03571428571428571,0.03494202789039892,0.0007722578238867905
4,4,8.5,4.5,58,0.034482758620689655,0.033716627953470996,0.0007661306672186591
4,4,9.0,5.0,109,0.06422018348623854,0.03148705404676537,0.032733129439473166
4,4,9.5,5.5,129,0.015503875968992248,0.03117455648821634,-0.015670680519224094
4,4,10.0,6.0,163,0.012269938650306749,0.030495410491813407,-0.018225471841506656
4,4,10.5,6.5,108,0.037037037037037035,0.029742922125950685,0.00729411491108635
4,4,11.0,7.0,58,0.017241379310344827,0.02907534574648153,-0.011833966436136701
4,4,12.5,8.5,35,0.05714285714285714,0.026433644372743585,0.030709212770113556
4,4,13.0,9.0,59,0.03389830508474576,0.025264036933698955,0.008634268151046808
4,4,13.5,9.5,50,0.02,0.024555408326469498,-0.004555408326469498
4,4,14.0,10.0,79,0.0379746835443038,0.023626509406480024,0.014348174137823775
4,-4,1.0,5.0,218,0.03211009174311927,0.019398898708303244,0.012711193034816024
4,-4,1.5,5.5,102,0.029411764705882353,0.012585753691412092,0.01682601101447026
4,-4,2.0,6.0,107,0.018691588785046728,0.012119727283750286,0.006571861501296442
4,-4,2.5,6.5,420,0.03571428571428571,0.017683787046778292,0.01803049866750742
4,-4,3.0,7.0,784,0.01913265306122449,0.024366447359832722,-0.005233794298608232
4,-4,3.5,7.5,517,0.013539651837524178,0.027999105785249803,-0.014459453947725624
